system:index,fn,fp,tn,tp,year,.geo
0,140,62,30898,349,1985,
1,133,61,30894,360,1986,
2,130,48,30901,369,1987,
3,130,44,30896,378,1988,
4,142,41,30887,378,1989,
5,148,35,30887,378,1990,
6,145,29,30888,386,1991,
7,157,29,30883,380,1992,
8,155,24,30880,390,1993,
9,147,25,30874,403,1994,
10,144,18,30877,410,1995,
11,140,19,30871,419,1996,
12,156,19,30861,413,1997,
13,163,16,30857,413,1998,
14,163,11,30853,422,1999,
15,144,12,30839,454,2000,
16,149,11,30834,455,2001,
17,149,14,30828,458,2002,
18,176,14,30823,436,2003,
19,165,13,30823,448,2004,
20,156,14,30821,458,2005,
21,148,15,30816,470,2006,
22,152,15,30814,468,2007,
23,149,17,30812,471,2008,
24,136,15,30811,487,2009,
25,128,17,30809,495,2010,
26,135,19,30807,488,2011,
27,126,18,30807,498,2012,
28,129,17,30806,497,2013,
29,135,22,30799,493,2014,
30,125,23,30798,503,2015,
31,138,20,30800,491,2016,
32,128,21,30799,501,2017,
