system:index,fn,fp,tn,tp,year,.geo
0,104,78,7829,379,1985,
1,107,73,7804,379,1986,
2,113,78,7827,379,1987,
3,119,78,7836,382,1988,
4,112,88,7822,391,1989,
5,113,81,7826,402,1990,
6,124,88,7803,400,1991,
7,115,76,7842,412,1992,
8,115,84,7856,421,1993,
9,109,89,7833,428,1994,
10,109,84,7807,430,1995,
11,103,85,7830,439,1996,
12,106,86,7831,448,1997,
13,116,77,7823,449,1998,
14,125,93,7853,427,1999,
15,52,95,7836,515,2000,
16,106,81,7842,477,2001,
17,108,88,7857,473,2002,
18,113,79,7843,455,2003,
19,103,86,7893,476,2004,
20,113,84,7893,469,2005,
21,103,84,7892,479,2006,
22,98,90,7876,477,2007,
23,103,79,7865,479,2008,
24,95,86,7858,485,2009,
25,82,85,7870,494,2010,
26,100,84,7878,483,2011,
27,85,92,7889,494,2012,
28,101,95,7869,480,2013,
29,85,82,7879,498,2014,
30,81,89,7849,505,2015,
31,80,89,7878,506,2016,
32,83,83,7871,503,2017,
