system:index,fn,fp,tn,tp,year,.geo
0,0,25,0,178,1985,
1,0,29,0,181,1986,
2,0,31,0,189,1987,
3,0,32,0,190,1988,
4,0,31,0,199,1989,
5,0,28,0,208,1990,
6,0,26,0,211,1991,
7,0,27,2,210,1992,
8,0,26,0,221,1993,
9,0,25,0,237,1994,
10,0,24,0,250,1995,
11,0,24,0,255,1996,
12,0,25,0,259,1997,
13,0,23,0,265,1998,
14,0,27,0,270,1999,
15,0,26,0,281,2000,
16,0,26,0,288,2001,
17,0,27,0,295,2002,
18,0,27,0,305,2003,
19,0,26,0,307,2004,
20,0,25,0,309,2005,
21,0,30,0,311,2006,
22,0,24,0,321,2007,
23,0,23,0,329,2008,
24,0,23,0,337,2009,
25,0,22,0,343,2010,
26,0,23,0,348,2011,
27,0,26,0,343,2012,
28,0,29,0,355,2013,
29,0,33,0,363,2014,
30,0,35,0,370,2015,
31,0,37,0,377,2016,
32,0,39,0,383,2017,
33,0,48,0,382,2018,
